GEO ID,Province Code,City,Total,Motorized,Public,Active
24661621,24,Montréal,420.0,145.0,180.0,80.0
24661622,24,Montréal,130.0,50.0,60.0,25.0
24661623,24,Montréal,160.0,85.0,55.0,10.0
24661624,24,Montréal,105.0,50.0,40.0,0.0
24661625,24,Montréal,160.0,60.0,25.0,75.0
24661626,24,Montréal,300.0,125.0,90.0,75.0
24661627,24,Montréal,315.0,70.0,105.0,135.0
24661628,24,Montréal,205.0,40.0,50.0,100.0
24661629,24,Montréal,235.0,70.0,95.0,55.0
24661630,24,Montréal,220.0,125.0,75.0,20.0
24661631,24,Montréal,225.0,105.0,45.0,65.0
24661632,24,Montréal,260.0,125.0,85.0,50.0
24661633,24,Montréal,210.0,95.0,70.0,45.0
24661634,24,Montréal,135.0,70.0,45.0,15.0
24661635,24,Montréal,230.0,100.0,70.0,60.0
24661636,24,Montréal,205.0,115.0,35.0,55.0
24661637,24,Montréal,95.0,20.0,35.0,35.0
24661638,24,Montréal,130.0,65.0,35.0,30.0
24661639,24,Montréal,280.0,100.0,130.0,50.0
24661640,24,Montréal,250.0,85.0,95.0,65.0
24661641,24,Montréal,330.0,135.0,90.0,105.0
24661642,24,Montréal,205.0,80.0,40.0,85.0
24661643,24,Montréal,140.0,50.0,45.0,50.0
24661644,24,Montréal,230.0,85.0,40.0,100.0
24661645,24,Montréal,215.0,70.0,75.0,80.0
24661646,24,Montréal,125.0,35.0,45.0,40.0
24661647,24,Montréal,315.0,85.0,145.0,75.0
24661648,24,Montréal,135.0,45.0,60.0,30.0
24661649,24,Montréal,120.0,30.0,55.0,40.0
24661650,24,Montréal,145.0,40.0,35.0,65.0
24661651,24,Montréal,170.0,85.0,40.0,45.0
24661652,24,Montréal,215.0,75.0,70.0,70.0
24661653,24,Montréal,245.0,105.0,65.0,70.0
24661654,24,Montréal,275.0,135.0,70.0,70.0
24661655,24,Montréal,135.0,60.0,35.0,40.0
24661656,24,Montréal,165.0,90.0,25.0,45.0
24661657,24,Montréal,210.0,95.0,65.0,35.0
24661658,24,Montréal,240.0,115.0,55.0,60.0
24661659,24,Montréal,180.0,95.0,45.0,45.0
24661660,24,Montréal,155.0,95.0,30.0,30.0
24661661,24,Montréal,145.0,65.0,40.0,35.0
24661662,24,Montréal,150.0,85.0,50.0,10.0
24661663,24,Montréal,130.0,65.0,20.0,35.0
24661664,24,Montréal,275.0,145.0,75.0,55.0
24661665,24,Montréal,220.0,130.0,40.0,45.0
24661666,24,Montréal,255.0,140.0,60.0,60.0
24661667,24,Montréal,165.0,75.0,55.0,25.0
24661668,24,Montréal,200.0,95.0,85.0,15.0
24661669,24,Montréal,185.0,125.0,25.0,30.0
24661670,24,Montréal,265.0,155.0,85.0,30.0
24661671,24,Montréal,140.0,70.0,50.0,25.0
24661672,24,Montréal,170.0,65.0,65.0,35.0
24661673,24,Montréal,425.0,220.0,145.0,55.0
24661674,24,Montréal,210.0,90.0,80.0,35.0
24661675,24,Montréal,110.0,85.0,20.0,0.0
24661676,24,Montréal,235.0,140.0,85.0,10.0
24661677,24,Montréal,125.0,75.0,20.0,20.0
24661678,24,Montréal,175.0,90.0,50.0,25.0
24661679,24,Montréal,80.0,65.0,10.0,0.0
24661680,24,Montréal,195.0,115.0,30.0,35.0
24661681,24,Montréal,220.0,115.0,75.0,30.0
24661682,24,Montréal,185.0,105.0,45.0,40.0
24661683,24,Montréal,225.0,115.0,70.0,30.0
24661684,24,Montréal,270.0,130.0,80.0,40.0
24661685,24,Montréal,310.0,170.0,95.0,35.0
24661686,24,Montréal,225.0,110.0,65.0,50.0
24661687,24,Montréal,220.0,115.0,55.0,40.0
24661688,24,Montréal,170.0,110.0,35.0,25.0
24661689,24,Montréal,165.0,125.0,10.0,10.0
24661690,24,Montréal,160.0,115.0,20.0,20.0
24661691,24,Montréal,280.0,170.0,70.0,30.0
24661692,24,Montréal,255.0,125.0,75.0,30.0
24661693,24,Montréal,205.0,120.0,55.0,40.0
24661694,24,Montréal,75.0,55.0,15.0,10.0
24661695,24,Montréal,130.0,85.0,30.0,15.0
24661696,24,Montréal,105.0,65.0,10.0,20.0
24661697,24,Montréal,430.0,255.0,160.0,15.0
24661698,24,Montréal,185.0,110.0,55.0,15.0
24661699,24,Montréal,215.0,120.0,60.0,35.0
24661700,24,Montréal,240.0,175.0,40.0,20.0
24661701,24,Montréal,110.0,80.0,15.0,10.0
24661702,24,Montréal,195.0,135.0,50.0,0.0
24661703,24,Montréal,195.0,140.0,45.0,10.0
24661704,24,Montréal,255.0,165.0,70.0,30.0
24661705,24,Montréal,200.0,125.0,65.0,15.0
24661709,24,Montréal,190.0,95.0,90.0,10.0
24661710,24,Montréal,240.0,100.0,120.0,15.0
24661711,24,Montréal,245.0,95.0,120.0,25.0
24661712,24,Montréal,180.0,80.0,80.0,10.0
24661713,24,Montréal,185.0,120.0,45.0,15.0
24661714,24,Montréal,210.0,110.0,60.0,25.0
24661715,24,Montréal,255.0,125.0,110.0,20.0
24661716,24,Montréal,305.0,190.0,85.0,25.0
24661717,24,Montréal,135.0,60.0,40.0,25.0
24661718,24,Montréal,200.0,135.0,25.0,30.0
24661719,24,Montréal,245.0,150.0,40.0,60.0
24661720,24,Montréal,345.0,135.0,160.0,30.0
24661721,24,Montréal,190.0,125.0,55.0,0.0
24661723,24,Montréal,275.0,150.0,90.0,30.0
24661725,24,Montréal,140.0,95.0,25.0,15.0
24661726,24,Montréal,150.0,105.0,30.0,10.0
24661727,24,Montréal,195.0,110.0,65.0,0.0
24661728,24,Montréal,365.0,200.0,115.0,45.0
24661729,24,Montréal,50.0,35.0,0.0,10.0
24661730,24,Montréal,190.0,75.0,85.0,15.0
24661731,24,Montréal,180.0,115.0,30.0,35.0
24661732,24,Montréal,140.0,75.0,30.0,30.0
24661733,24,Montréal,160.0,85.0,45.0,20.0
24661734,24,Montréal,220.0,130.0,50.0,40.0
24661735,24,Montréal,250.0,85.0,80.0,90.0
24661736,24,Montréal,205.0,95.0,50.0,55.0
24661737,24,Montréal,200.0,80.0,30.0,85.0
24661738,24,Montréal,190.0,110.0,60.0,15.0
24661739,24,Montréal,230.0,80.0,85.0,55.0
24661740,24,Montréal,225.0,90.0,95.0,40.0
24661741,24,Montréal,200.0,95.0,90.0,20.0
24661742,24,Montréal,200.0,95.0,60.0,30.0
24661743,24,Montréal,170.0,45.0,85.0,50.0
24661744,24,Montréal,265.0,135.0,95.0,25.0
24661745,24,Montréal,170.0,90.0,50.0,30.0
24661746,24,Montréal,310.0,175.0,85.0,45.0
24661747,24,Montréal,230.0,115.0,70.0,35.0
24661748,24,Montréal,350.0,135.0,135.0,65.0
